angle_hip,label
77.53261643982476,caminar
69.97205662447024,caminar
75.70410741359754,caminar
99.47133200415853,caminar
118.1581174821303,caminar
92.26010851491024,caminar
95.74397057103808,caminar
71.81628626852543,caminar
116.77918126189283,caminar
91.81677667766643,caminar
95.87386421601238,caminar
82.16151601922164,caminar
144.36099846853992,girar
141.1618281970614,girar
94.68493171851195,girar
104.14306492652489,girar
80.5718716206117,levantarse
83.3674521952656,levantarse
97.23244378976987,levantarse
65.78230608945832,levantarse
110.45756636455857,levantarse
88.40247543774464,levantarse
142.40604992370703,levantarse
81.72019603996331,sentarse
76.37487255921482,sentarse
90.16091811393012,sentarse
92.25220731701934,sentarse
105.0741617615042,sentarse
73.54953980361252,sentarse
126.91886450680933,sentarse
143.42632189083915,sentarse
